Year,Month,Day,NorESM1-M
2036,2,14,99.13
2036,2,15,193.93
2036,2,16,282.46
2036,2,17,284.54
2036,2,18,176.65
2036,2,19,103.97
2036,2,20,106.77
2036,2,21,89.18
2036,2,22,71.09
2036,2,23,60.18
2036,2,24,54.35
2036,2,25,51.68
2036,2,26,50.26
2036,2,27,49.28
2036,2,28,48.40
2036,2,29,73.64
2036,3,1,157.11
2036,3,2,276.58
2036,3,3,319.24
2036,3,4,241.92
2036,3,5,124.83
2036,3,6,77.71
2036,3,7,61.89
2036,3,8,105.10
2036,3,9,108.05
2036,3,10,152.44
2036,3,11,95.77
2036,3,12,68.83
2036,3,13,58.61
2036,3,14,54.87
2036,3,15,53.19
2036,3,16,149.52
2036,3,17,133.45
2036,3,18,84.88
2036,3,19,77.85
2036,3,20,83.83
2036,3,21,67.89
2036,3,22,65.38
2036,3,23,151.03
2036,3,24,96.10
2036,3,25,125.68
2036,3,26,97.26
2036,3,27,68.24
2036,3,28,125.75
2036,3,29,159.57
2036,3,30,94.37
2036,3,31,65.82
2036,4,1,99.80
2036,4,2,174.70
2036,4,3,108.51
2036,4,4,72.37
2036,4,5,57.94
2036,4,6,55.52
2036,4,7,233.43
2036,4,8,471.62
2036,4,9,583.58
2036,4,10,583.71
2036,4,11,515.63
2036,4,12,421.63
2036,4,13,313.79
2036,4,14,207.70
2036,4,15,128.52
2036,4,16,138.98
2036,4,17,202.70
2036,4,18,142.59
2036,4,19,101.30
2036,4,20,87.29
2036,4,21,82.62
2036,4,22,80.20
2036,4,23,78.41
2036,4,24,77.12
2036,4,25,76.75
2036,4,26,74.85
2036,4,27,73.30
2036,4,28,71.99
2036,4,29,70.75
2036,4,30,169.54
2036,5,1,279.18
2036,5,2,258.67
2036,5,3,225.19
2036,5,4,170.19
2036,5,5,108.20
2036,5,6,84.60
2036,5,7,76.22
2036,5,8,72.98
2036,5,9,71.25
2036,5,10,69.95
2036,5,11,68.76
2036,5,12,67.45
2036,5,13,66.20
2036,5,14,65.04
2036,5,15,64.03
2036,5,16,63.01
2036,5,17,62.03
2036,5,18,61.07
2036,5,19,60.04
2036,5,20,59.00
2036,5,21,57.95
2036,5,22,56.99
2036,5,23,56.08
2036,5,24,55.15
2036,5,25,54.17
2036,5,26,53.26
2036,5,27,52.30
2036,5,28,51.32
2036,5,29,50.53
2036,5,30,49.75
2036,5,31,48.78
2036,6,1,47.88
2036,6,2,47.08
2036,6,3,46.30
2036,6,4,45.51
2036,6,5,44.75
2036,6,6,44.00
2036,6,7,43.28
2036,6,8,42.55
2036,6,9,41.79
2036,6,10,41.10
2036,6,11,40.48
2036,6,12,39.81
2036,6,13,39.16
2036,6,14,38.44
2036,6,15,37.78
2036,6,16,37.18
2036,6,17,36.53
2036,6,18,35.85
2036,6,19,35.20
2036,6,20,34.64
2036,6,21,34.13
2036,6,22,33.67
2036,6,23,33.09
2036,6,24,32.48
2036,6,25,31.79
2036,6,26,31.28
2036,6,27,30.73
2036,6,28,30.26
2036,6,29,29.83
2036,6,30,29.34
2036,7,1,28.81
2036,7,2,28.24
2036,7,3,27.69
2036,7,4,27.23
2036,7,5,26.80
2036,7,6,26.34
2036,7,7,25.83
2036,7,8,25.46
2036,7,9,25.07
2036,7,10,24.60
2036,7,11,24.16
2036,7,12,23.74
2036,7,13,23.36
2036,7,14,22.98
2036,7,15,22.63
2036,7,16,22.28
2036,7,17,21.88
2036,7,18,21.45
2036,7,19,21.09
2036,7,20,20.75
2036,7,21,20.43
2036,7,22,20.02
2036,7,23,19.72
2036,7,24,19.41
2036,7,25,19.03
2036,7,26,18.68
2036,7,27,18.38
2036,7,28,18.12
2036,7,29,17.82
2036,7,30,17.47
2036,7,31,17.18
2036,8,1,16.92
2036,8,2,16.62
2036,8,3,16.30
2036,8,4,16.01
2036,8,5,15.77
2036,8,6,15.50
2036,8,7,15.18
2036,8,8,14.90
2036,8,9,14.68
2036,8,10,14.47
2036,8,11,14.30
2036,8,12,14.10
2036,8,13,13.88
2036,8,14,13.63
2036,8,15,13.40
2036,8,16,13.17
2036,8,17,12.94
2036,8,18,12.68
2036,8,19,12.41
2036,8,20,12.22
2036,8,21,12.04
2036,8,22,11.85
2036,8,23,11.60
2036,8,24,11.34
2036,8,25,11.07
2036,8,26,10.84
2036,8,27,10.71
2036,8,28,10.62
2036,8,29,10.52
2036,8,30,10.37
2036,8,31,10.19
2036,9,1,9.94
2036,9,2,9.75
2036,9,3,9.58
2036,9,4,9.42
2036,9,5,9.27
2036,9,6,9.14
2036,9,7,9.01
2036,9,8,8.90
2036,9,9,8.80
2036,9,10,8.63
2036,9,11,8.47
2036,9,12,8.31
2036,9,13,8.13
2036,9,14,8.00
2036,9,15,7.84
2036,9,16,7.71
2036,9,17,7.63
2036,9,18,7.54
2036,9,19,7.41
2036,9,20,7.27
2036,9,21,7.13
2036,9,22,7.02
2036,9,23,6.87
2036,9,24,6.75
2036,9,25,6.64
2036,9,26,6.54
2036,9,27,6.46
2036,9,28,6.34
2036,9,29,6.22
2036,9,30,6.10
2036,10,1,5.99
2036,10,2,5.87
2036,10,3,5.72
2036,10,4,5.66
2036,10,5,5.62
2036,10,6,5.51
2036,10,7,5.39
2036,10,8,5.33
2036,10,9,5.23
2036,10,10,5.16
2036,10,11,5.06
2036,10,12,4.97
2036,10,13,4.88
2036,10,14,4.81
2036,10,15,4.76
2036,10,16,4.68
2036,10,17,4.61
2036,10,18,4.55
2036,10,19,4.47
2036,10,20,4.38
2036,10,21,4.31
2036,10,22,4.24
2036,10,23,4.15
2036,10,24,4.03
2036,10,25,3.96
2036,10,26,3.92
2036,10,27,3.88
2036,10,28,3.79
2036,10,29,3.67
2036,10,30,3.59
2036,10,31,3.58
2036,11,1,3.56
2036,11,2,3.52
2036,11,3,3.45
2036,11,4,3.39
2036,11,5,3.32
2036,11,6,3.29
2036,11,7,3.25
2036,11,8,3.20
2036,11,9,3.15
2036,11,10,3.10
2036,11,11,3.05
2036,11,12,3.00
2036,11,13,2.96
2036,11,14,2.90
2036,11,15,2.85
2036,11,16,2.79
2036,11,17,2.74
2036,11,18,2.68
2036,11,19,2.63
2036,11,20,2.61
2036,11,21,2.56
2036,11,22,2.51
2036,11,23,2.46
2036,11,24,2.41
2036,11,25,2.37
2036,11,26,2.34
2036,11,27,2.31
2036,11,28,2.28
2036,11,29,2.23
2036,11,30,2.19
2036,12,1,2.17
2036,12,2,2.13
2036,12,3,2.09
2036,12,4,2.05
2036,12,5,2.02
2036,12,6,2.00
2036,12,7,1.98
2036,12,8,1.94
2036,12,9,1.90
2036,12,10,1.87
2036,12,11,138.20
2036,12,12,136.48
2036,12,13,65.37
2036,12,14,26.34
2036,12,15,12.65
2036,12,16,8.52
2036,12,17,7.33
2036,12,18,6.94
2036,12,19,6.75
2036,12,20,6.62
2036,12,21,6.50
2036,12,22,6.38
2036,12,23,6.28
2036,12,24,6.51
2036,12,25,6.12
2036,12,26,5.98
2036,12,27,5.87
2036,12,28,5.78
2036,12,29,8.17
2036,12,30,5.79
2036,12,31,5.55
2037,1,1,5.44
2037,1,2,5.35
2037,1,3,5.27
2037,1,4,5.17
2037,1,5,9.08
2037,1,6,5.36
2037,1,7,5.04
2037,1,8,4.92
2037,1,9,4.83
2037,1,10,4.74
2037,1,11,4.66
2037,1,12,4.57
2037,1,13,4.50
2037,1,14,4.44
2037,1,15,4.37
2037,1,16,4.28
2037,1,17,4.21
2037,1,18,4.14
2037,1,19,9.74
2037,1,20,4.91
2037,1,21,4.16
