Year,Month,Day,HadGEM2-ES
1980,9,9,3.71
1980,9,10,3.63
1980,9,11,3.59
1980,9,12,3.57
1980,9,13,3.48
1980,9,14,3.47
1980,9,15,3.48
1980,9,16,3.45
1980,9,17,3.39
1980,9,18,3.33
1980,9,19,3.27
1980,9,20,3.21
1980,9,21,3.14
1980,9,22,3.09
1980,9,23,3.04
1980,9,24,2.97
1980,9,25,2.90
1980,9,26,2.83
1980,9,27,2.78
1980,9,28,2.77
1980,9,29,2.75
1980,9,30,2.69
1980,10,1,2.63
1980,10,2,2.58
1980,10,3,2.56
1980,10,4,2.50
1980,10,5,2.44
1980,10,6,2.41
1980,10,7,2.38
1980,10,8,2.37
1980,10,9,2.34
1980,10,10,2.30
1980,10,11,2.26
1980,10,12,2.20
1980,10,13,2.11
1980,10,14,2.06
1980,10,15,214.58
1980,10,16,222.74
1980,10,17,138.71
1980,10,18,63.94
1980,10,19,28.81
1980,10,20,16.54
1980,10,21,12.71
1980,10,22,11.50
1980,10,23,11.05
1980,10,24,21.62
1980,10,25,95.54
1980,10,26,49.73
1980,10,27,24.57
1980,10,28,15.91
1980,10,29,101.13
1980,10,30,98.58
1980,10,31,45.24
1980,11,1,24.44
1980,11,2,17.45
1980,11,3,32.05
1980,11,4,27.54
1980,11,5,19.57
1980,11,6,15.99
1980,11,7,14.64
1980,11,8,14.21
1980,11,9,13.78
1980,11,10,13.49
1980,11,11,13.71
1980,11,12,68.18
1980,11,13,55.81
1980,11,14,30.29
1980,11,15,23.54
1980,11,16,154.97
1980,11,17,99.53
1980,11,18,45.53
1980,11,19,25.98
1980,11,20,89.90
1980,11,21,129.72
1980,11,22,59.38
1980,11,23,32.13
1980,11,24,23.15
1980,11,25,20.39
1980,11,26,19.43
1980,11,27,21.22
1980,11,28,19.68
1980,11,29,124.52
1980,11,30,78.88
1980,12,1,37.08
1980,12,2,26.36
1980,12,3,65.88
1980,12,4,57.18
1980,12,5,138.64
1980,12,6,80.42
1980,12,7,51.96
1980,12,8,99.41
1980,12,9,130.78
1980,12,10,161.20
1980,12,11,90.09
1980,12,12,45.73
1980,12,13,32.29
1980,12,14,28.18
1980,12,15,26.78
1980,12,16,26.10
1980,12,17,25.62
1980,12,18,25.19
1980,12,19,24.77
1980,12,20,24.35
1980,12,21,23.95
1980,12,22,23.54
1980,12,23,23.14
1980,12,24,175.36
1980,12,25,127.77
1980,12,26,58.66
1980,12,27,35.55
1980,12,28,28.35
1980,12,29,26.09
1980,12,30,25.21
1980,12,31,26.87
1981,1,1,85.09
1981,1,2,51.97
1981,1,3,34.38
1981,1,4,27.47
1981,1,5,25.01
1981,1,6,24.04
1981,1,7,23.49
1981,1,8,23.06
1981,1,9,55.72
1981,1,10,42.68
1981,1,11,30.27
1981,1,12,24.79
1981,1,13,22.77
1981,1,14,21.96
1981,1,15,21.49
1981,1,16,21.11
1981,1,17,20.74
1981,1,18,20.38
1981,1,19,20.05
1981,1,20,19.72
1981,1,21,19.39
1981,1,22,19.07
1981,1,23,18.75
1981,1,24,18.43
1981,1,25,18.11
1981,1,26,17.81
1981,1,27,17.52
1981,1,28,17.24
1981,1,29,16.95
1981,1,30,16.66
1981,1,31,16.38
1981,2,1,16.10
1981,2,2,15.83
1981,2,3,15.56
1981,2,4,15.30
1981,2,5,15.05
1981,2,6,14.81
1981,2,7,14.56
1981,2,8,14.32
1981,2,9,14.08
1981,2,10,13.85
1981,2,11,13.61
1981,2,12,13.38
1981,2,13,13.16
1981,2,14,12.94
1981,2,15,12.73
1981,2,16,12.51
1981,2,17,12.30
1981,2,18,12.08
1981,2,19,11.87
1981,2,20,11.67
1981,2,21,11.47
1981,2,22,11.28
1981,2,23,11.09
1981,2,24,10.91
1981,2,25,10.73
1981,2,26,10.55
1981,2,27,10.37
1981,2,28,115.79
1981,3,1,133.51
1981,3,2,65.73
1981,3,3,28.10
1981,3,4,17.59
1981,3,5,14.72
1981,3,6,13.85
1981,3,7,13.48
1981,3,8,13.22
1981,3,9,12.99
1981,3,10,12.77
1981,3,11,12.56
1981,3,12,12.35
1981,3,13,44.25
1981,3,14,28.93
1981,3,15,22.26
1981,3,16,42.00
1981,3,17,42.46
1981,3,18,261.29
1981,3,19,419.04
1981,3,20,442.97
1981,3,21,385.00
1981,3,22,273.50
1981,3,23,211.24
1981,3,24,231.57
1981,3,25,246.77
1981,3,26,226.38
1981,3,27,217.05
1981,3,28,247.61
1981,3,29,165.39
1981,3,30,124.90
1981,3,31,89.78
1981,4,1,61.42
1981,4,2,120.76
1981,4,3,149.26
1981,4,4,151.55
1981,4,5,119.51
1981,4,6,135.60
1981,4,7,120.15
1981,4,8,79.04
1981,4,9,66.10
1981,4,10,69.80
1981,4,11,71.95
1981,4,12,84.23
1981,4,13,90.33
1981,4,14,89.89
1981,4,15,70.32
1981,4,16,57.37
1981,4,17,51.69
1981,4,18,66.53
1981,4,19,86.10
1981,4,20,83.77
1981,4,21,66.62
1981,4,22,54.61
1981,4,23,48.90
1981,4,24,46.34
1981,4,25,45.03
1981,4,26,44.16
1981,4,27,43.41
1981,4,28,42.62
1981,4,29,41.90
1981,4,30,41.23
1981,5,1,40.58
1981,5,2,39.92
1981,5,3,39.25
1981,5,4,38.59
1981,5,5,37.92
1981,5,6,37.27
1981,5,7,36.58
1981,5,8,35.89
1981,5,9,35.29
1981,5,10,34.68
1981,5,11,34.20
1981,5,12,33.69
1981,5,13,33.08
1981,5,14,32.51
1981,5,15,31.98
1981,5,16,31.46
1981,5,17,30.94
1981,5,18,30.42
1981,5,19,29.92
1981,5,20,29.41
1981,5,21,28.92
1981,5,22,28.45
1981,5,23,27.98
1981,5,24,27.46
1981,5,25,26.94
1981,5,26,26.45
1981,5,27,26.02
1981,5,28,25.60
1981,5,29,25.20
1981,5,30,28.20
1981,5,31,30.07
1981,6,1,27.50
1981,6,2,25.16
1981,6,3,23.82
1981,6,4,24.28
1981,6,5,74.69
1981,6,6,54.67
1981,6,7,36.70
1981,6,8,53.62
